true_label,predicted_label,confidence_negatif,confidence_netral,confidence_positif
2,2,0.004448109,0.018543357,0.9770085
0,0,0.9918847,0.0072839526,0.000831311
1,1,0.004298459,0.9014112,0.09429039
2,2,0.0015711363,0.004289842,0.9941391
0,0,0.97835577,0.01982387,0.0018203575
1,1,0.0043185847,0.9937469,0.0019345077
2,2,0.0059348927,0.024553493,0.9695116
0,0,0.9920408,0.0071517043,0.0008075328
1,1,0.0031848883,0.8930197,0.10379543
2,2,0.0019322913,0.0042238263,0.9938439
0,0,0.9788578,0.01928525,0.0018568273
1,1,0.0042363307,0.9932434,0.0025202665
2,2,0.0044776583,0.018489711,0.97703266
0,0,0.99397355,0.005293712,0.00073273847
2,2,0.0067314627,0.3492568,0.64401174
2,2,0.0015917754,0.0046403604,0.99376786
0,0,0.9773301,0.020637756,0.0020321314
1,1,0.010548013,0.984298,0.0051539373
2,2,0.0052139983,0.022179145,0.9726069
0,0,0.9927394,0.0064981966,0.0007623779
1,1,0.0037374764,0.98070437,0.015558129
2,2,0.0015280569,0.004174259,0.9942977
0,0,0.98109347,0.017204946,0.0017015273
1,1,0.0040433267,0.993958,0.0019987
2,2,0.0053330893,0.02133664,0.97333026
0,0,0.9940299,0.005231514,0.0007385758
1,1,0.0049001137,0.67859244,0.31650746
2,2,0.0013281034,0.0033984566,0.9952734
0,0,0.9776162,0.020307407,0.0020764507
1,1,0.0059994403,0.99159956,0.0024009838
2,2,0.0045339367,0.019118903,0.9763472
0,0,0.9907776,0.008409707,0.00081268547
1,1,0.005237206,0.96434283,0.030419966
2,2,0.0015055807,0.0040340684,0.99446034
0,0,0.97656155,0.021418935,0.0020195832
1,1,0.010542049,0.9863535,0.003104433
2,2,0.004236144,0.017590174,0.9781737
0,0,0.9930729,0.0061584483,0.00076867925
1,1,0.0065724393,0.58310664,0.4103209
2,2,0.0014422858,0.0038961426,0.9946616
0,0,0.97544175,0.022268178,0.0022900933
1,1,0.02533778,0.96937716,0.0052850936
2,2,0.0041317753,0.016212162,0.9796561
0,0,0.9938577,0.005397971,0.0007443702
1,1,0.0031565747,0.85491604,0.1419274
2,2,0.001978374,0.004526717,0.9934949
0,0,0.97006357,0.027764387,0.0021721213
1,1,0.009491567,0.98775685,0.0027515655
2,2,0.0047543007,0.019524604,0.9757211
0,0,0.99191874,0.0072599915,0.00082133524
1,1,0.0033102867,0.98037076,0.016318925
2,2,0.0019322913,0.0042238263,0.9938439
0,0,0.9798305,0.018130686,0.0020388348
1,1,0.006935879,0.99060154,0.0024626083
2,2,0.005365468,0.021695925,0.97293866
0,0,0.9942959,0.0049936795,0.0007104106
1,1,0.0033718916,0.8729689,0.123659186
2,2,0.001481814,0.004285612,0.9942326
0,0,0.9765929,0.021371284,0.0020358183
1,1,0.0045286934,0.9934629,0.0020084537
2,2,0.004317288,0.0177691,0.97791356
0,0,0.99300486,0.006213938,0.0007813143
1,1,0.0034733377,0.90276057,0.093766056
2,2,0.0017180779,0.0047018896,0.99358
0,0,0.96879375,0.029021172,0.0021850828
1,1,0.019018732,0.9773158,0.0036654794
2,2,0.004148378,0.016568102,0.9792835
0,0,0.99417263,0.005093747,0.0007335733
1,1,0.0029630829,0.8942055,0.102831446
2,2,0.0022266249,0.0051441994,0.9926292
0,0,0.9738443,0.024080837,0.002074868
1,1,0.00592467,0.99183136,0.0022439384
2,2,0.0060678795,0.02738054,0.96655154
0,0,0.99417746,0.0051016593,0.0007208957
1,1,0.0036973704,0.8600076,0.13629498
2,2,0.001886728,0.005094034,0.99301916
0,0,0.978782,0.019378118,0.0018399319
1,1,0.004536035,0.9933256,0.0021383283
2,2,0.004668763,0.019287493,0.97604376
0,0,0.9919343,0.007255904,0.00080980355
1,1,0.0051598973,0.687699,0.30714113
2,2,0.0019761529,0.004388177,0.99363565
0,0,0.9779674,0.020132843,0.0018997928
1,1,0.0050643496,0.9924527,0.0024829162
2,2,0.005991207,0.024002684,0.9700061
0,0,0.9907577,0.008386956,0.0008553548
1,1,0.002631317,0.95431185,0.04305684
2,2,0.0018036163,0.003956418,0.9942399
0,0,0.9758385,0.02194301,0.0022184988
1,1,0.004305797,0.9932708,0.002423469
2,2,0.003988712,0.015691599,0.9803197
0,0,0.99312854,0.0060834084,0.00078816613
1,1,0.00344778,0.91947204,0.07708026
2,2,0.001978374,0.004526717,0.9934949
0,0,0.9750004,0.022886407,0.0021131467
1,1,0.0056874906,0.9923645,0.0019479888
2,2,0.0047272663,0.019897362,0.9753754
0,0,0.9942795,0.0050041783,0.00071628403
1,1,0.004752464,0.8620897,0.13315777
2,2,0.001978109,0.0053264326,0.99269545
0,0,0.98101485,0.017172685,0.001812411
